"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","GeneSymbol","Significance"
-1.6013507353787,7.60202331797978,-4.7125434795366,3.8139112536348e-06,0.00593678838171903,4.04838488804328,"214777_at","IGKV4-1","Lower in bone relapse"
-1.30327587569932,5.69310522183284,-4.5793402116648,6.95059916567396e-06,0.00734863562013245,3.51106229080919,"216365_x_at","IGLV3-19","Lower in bone relapse"
-1.47106762276543,7.84452061330968,-4.56752606741022,7.32582393119485e-06,0.00734863562013245,3.46404021462224,"216984_x_at","IGLJ3","Lower in bone relapse"
-1.72443998207878,8.07804122857829,-4.49787222971936,9.96638426894854e-06,0.00888323762659921,3.18892416770238,"217378_x_at","IGKV1OR2-108","Lower in bone relapse"
-1.2337981331584,9.6674676938577,-4.47057277645592,1.12328333239975e-05,0.00918063386134717,3.08208873172719,"217148_x_at","IGLV2-14","Lower in bone relapse"
-1.14524918909879,11.2264980543653,-4.38432749355514,1.63295222361013e-05,0.00918063386134717,2.74825930622849,"214669_x_at","IGKC","Lower in bone relapse"
-1.54873190730035,9.79061471821501,-4.35972766947629,1.81492973564423e-05,0.00946951500671545,2.65407249595096,"215176_x_at","IGKV1D-39","Lower in bone relapse"
-1.27911684867546,12.9830621468257,-4.24981001615416,2.89325580642657e-05,0.0110590825800642,2.23885833695445,"215121_x_at","IGLC1","Lower in bone relapse"
1.06306179442732,8.6192422236249,4.2040165242958,3.50388765516246e-05,0.0117554905556965,2.06860596936601,"204540_at","EEF1A2","Higher in bone relapse"
1.30629276719367,6.16037458529885,4.18285154937252,3.82599863169778e-05,0.0117762653652019,1.99046433025606,"207430_s_at","MSMB","Higher in bone relapse"
-1.4634385614225,7.7323787428009,-4.18084562365867,3.8579516746387e-05,0.0117762653652019,1.98307634951426,"216401_x_at","IGKV1D-37","Lower in bone relapse"
-1.22805339927502,7.40428618169583,-4.16194399933632,4.1718083358069e-05,0.0122478504286283,1.91361300494927,"215214_at","IGLV3-25","Lower in bone relapse"
1.25017401532813,6.67850890876465,4.13408632105699,4.67911014158678e-05,0.0125620013596359,1.81174066775322,"213201_s_at","TNNT1","Higher in bone relapse"
-1.11386852774846,6.34631210234241,-4.01300393825379,7.65037769762119e-05,0.0160177795950473,1.3759758320984,"216510_x_at","IGHA1","Lower in bone relapse"
1.0550172025739,6.4997948085747,4.00304026192084,7.96209899413642e-05,0.0161290410805765,1.34062810086382,"214858_at","GPC1-AS1","Higher in bone relapse"
-1.01884500281933,4.64819077082173,-3.97638325605675,8.85651228272061e-05,0.0162142306863877,1.2464417046986,"204933_s_at","TNFRSF11B","Lower in bone relapse"
-1.12316439428611,11.7804910505617,-3.94824117451603,9.90389563439925e-05,0.0165180111643565,1.14761526123818,"215379_x_at","IGLC2","Lower in bone relapse"
-1.24174116842609,9.31633331324172,-3.90085877981743,0.00011937554991973,0.0172665145614471,0.982635699869618,"211645_x_at","IGKV1-17","Lower in bone relapse"
-1.26794777105166,5.95206515950349,-3.84803969371337,0.000146692667925868,0.0184280453523601,0.800823835320836,"216491_x_at","IGHM","Lower in bone relapse"
-1.08895017958373,7.56251675155452,-3.77411364641627,0.000194995270993883,0.020789854658166,0.550090342824368,"221286_s_at","MZB1","Lower in bone relapse"
-1.25546840472179,5.86611580328676,-3.76749046431003,0.000199988700098013,0.021057644790806,0.527839917021595,"216560_x_at","IGLV3-10","Lower in bone relapse"
-1.06217143814533,6.97885107464294,-3.49869837377297,0.000541496976589684,0.0318520941078795,-0.345278849661061,"206391_at","RARRES1","Lower in bone relapse"
1.20636373963614,8.87647680290535,3.49251921321276,0.000553654930512597,0.0318787928077834,-0.364659621159219,"205509_at","CPB1","Higher in bone relapse"
1.04378453682649,11.2183822980524,3.25582140213107,0.00126572866566826,0.045016159259342,-1.08336427061161,"204623_at","TFF3","Higher in bone relapse"
